number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge;distance
3;60.0;9;3;3600000.0;косметический;раздельный;лоджия;1980;1;0;панельный;р-н Кировский;улица Магистральная, 104/1;0;14811.404986995112
1;23.0;5;2;2050000.0;евро;совмещенный;нет;1970;0;0;кирпичный;р-н Ленинский;улица Пушкина, 108;1;912.1953815960629
4;87.0;7;2;7500000.0;косметический;раздельный;лоджия;2000;1;0;кирпичный;р-н Ленинский;улица Советская, 39;0;22490.55196426932
2;45.0;5;5;3300000.0;косметический;совмещенный;лоджия;1985;0;0;панельный;р-н Мотовилихинский;улица Крупской, 85;0;4509.201727443916
1;39.0;10;9;2100000.0;косметический;раздельный;лоджия;2011;1;1;панельный;р-н Орджоникидзевский;улица Генерала Черняховского, 57;0;13908.766543611704
3;61.0;5;1;2980000.0;косметический;раздельный;нет;1977;0;0;панельный;р-н Кировский;улица Полтавская, 8;0;17263.638492674272
1;39.0;4;1;3200000.0;требует ремонта;совмещенный;лоджия;2017;0;0;кирпичный;р-н Кировский;улица Кировоградская, 180Б;1;12958.959473882738
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.7241569110356
3;80.0;10;9;8000000.0;дизайнерский;раздельный;лоджия;2000;1;1;панельный;р-н Свердловский;улица Максима Горького, 76;1;2431.8052097233094
1;34.0;9;1;2270000.0;евро;совмещенный;нет;1992;1;1;кирпичный;р-н Индустриальный;проспект Декабристов, 39/2;0;4277.0491137380295
3;59.0;5;4;4700000.0;евро;раздельный;лоджия;1983;0;1;кирпичный;р-н Индустриальный;улица Танкистов, 10;0;2456.217659057953
2;45.0;5;2;2590000.0;косметический;совмещенный;нет;1967;0;0;кирпичный;р-н Свердловский;улица Куйбышева, 169/1;0;5952.517048409784
3;106.0;16;13;8100000.0;косметический;несколько;лоджия;2008;1;0;монолитный;р-н Мотовилихинский;улица Красновишерская, 37;1;2936.9654243459004
1;36.0;10;10;3000000.0;косметический;раздельный;лоджия;1993;1;1;панельный;р-н Мотовилихинский;улица Юрша, 23;0;4745.06519972934
3;106.0;16;13;8100000.0;косметический;несколько;лоджия;2008;1;0;монолитный;р-н Мотовилихинский;улица Красновишерская, 37;1;2936.9654243459004
1;36.0;10;10;3000000.0;косметический;раздельный;лоджия;1993;1;1;панельный;р-н Мотовилихинский;улица Юрша, 23;0;4745.06519972934
2;43.0;5;4;1750000.0;требует ремонта;раздельный;балкон;1957;0;0;кирпичный;р-н Кировский;улица Воронежская, 20;0;22629.684884137558
2;36.0;9;4;1700000.0;косметический;раздельный;балкон;1986;1;1;блочный;р-н Дзержинский;улица Хабаровская, 173;0;8865.898783166675
3;54.0;4;2;2300000.0;требует ремонта;совмещенный;балкон;1961;0;0;кирпичный;р-н Орджоникидзевский;улица Писарева, 11;0;11666.124063279121
3;65.0;10;7;6500000.0;евро;раздельный;балкон;1994;1;1;панельный;р-н Дзержинский;улица Голева, 2;0;1261.686871699992
3;52.0;9;3;3450000.0;косметический;совмещенный;лоджия;1970;1;1;панельный;р-н Кировский;улица Маршала Рыбалко, 107Б;0;14706.491740177562
1;34.0;9;3;2000000.0;косметический;совмещенный;лоджия;2008;1;1;панельный;р-н Орджоникидзевский;улица Александра Щербакова, 43;0;16193.817623995907
3;56.0;5;3;3600000.0;косметический;совмещенный;балкон;1964;0;0;панельный;р-н Индустриальный;улица Мира, 66;0;3818.986760737779
2;67.0;4;2;5600000.0;требует ремонта;совмещенный;лоджия;2017;0;0;кирпичный;р-н Кировский;улица Кировоградская, 180В;1;12928.566616594062
1;33.0;5;5;1850000.0;требует ремонта;совмещенный;балкон;1979;0;0;панельный;р-н Кировский;улица Волгодонская, 16;0;12864.120059142115
2;43.0;9;5;3749000.0;косметический;раздельный;лоджия;1985;1;1;панельный;р-н Индустриальный;улица Космонавта Беляева, 48;0;5844.5234379360045
4;59.0;5;5;3200000.0;требует ремонта;раздельный;балкон;1970;0;0;панельный;р-н Индустриальный;улица Чердынская, 29;0;5708.206890801354
1;34.0;10;5;2500000.0;требует ремонта;раздельный;лоджия;1993;1;1;панельный;р-н Дзержинский;улица Красноводская, 24;0;9248.042385374982
2;63.0;5;4;3700000.0;косметический;раздельный;балкон;1956;0;0;кирпичный;р-н Мотовилихинский;улица Крупской, 27;0;3374.4340905539666
1;30.0;5;4;2600000.0;требует ремонта;совмещенный;нет;1963;0;0;кирпичный;р-н Свердловский;улица 1-я, ул.,;0;7047.943120404179
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Индустриальный;улица Карпинского, 77;0;3565.7110305293904
2;52.0;9;8;3670000.0;косметический;раздельный;балкон;1976;1;0;кирпичный;р-н Дзержинский;улица Челюскинцев, 19;0;2446.0867895307656
3;72.0;6;5;13200000.0;дизайнерский;совмещенный;нет;2020;1;0;монолитный;р-н Ленинский;улица Петропавловская, 13А;1;1850.883050350171
2;52.0;10;5;3900000.0;косметический;раздельный;лоджия;1999;4;1;панельный;р-н Дзержинский;улица Куфонина, 22;0;5579.034607030109
2;45.0;14;2;6500000.0;дизайнерский;совмещенный;лоджия;2020;1;0;кирпичный;р-н Ленинский;улица Окулова, 24;1;584.0651683532385
4;133.0;16;12;10800000.0;евро;несколько;балкон;2010;1;0;кирпичный;р-н Дзержинский;улица Мильчакова, 28А;1;2290.660946417959
2;37.0;3;1;1880000.0;требует ремонта;совмещенный;нет;1961;0;0;кирпичный;р-н Индустриальный;улица Карпинского, 84;0;3883.7973418012866
2;41.0;5;3;2650000.0;косметический;совмещенный;балкон;1964;0;0;кирпичный;р-н Свердловский;улица Лодыгина, 31;0;4776.122879309026
3;93.0;25;14;7700000.0;евро;раздельный;лоджия;2011;2;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 40Г;1;5494.843565043202
2;46.0;5;1;2900000.0;косметический;раздельный;нет;1966;0;0;кирпичный;р-н Индустриальный;улица Стахановская, 55;0;2731.3919008893795
3;63.0;9;1;4600000.0;евро;раздельный;лоджия;1987;1;1;кирпичный;р-н Свердловский;улица Льва Шатрова, 34;0;3816.578686687608
2;81.0;16;11;7490000.0;дизайнерский;раздельный;лоджия;2006;1;0;кирпичный;р-н Дзержинский;улица Василия Каменского, 10А;1;3180.7438717494306
3;50.0;3;3;2100000.0;косметический;совмещенный;балкон;1960;0;0;кирпичный;р-н Орджоникидзевский;улица Можайская, 24;0;13275.573174561252
1;33.0;10;10;2590000.0;евро;раздельный;лоджия;1987;1;1;панельный;р-н Мотовилихинский;улица Гашкова, 26;0;9099.245923752831
1;31.0;5;4;2250000.0;косметический;совмещенный;балкон;1973;0;0;кирпичный;р-н Свердловский;улица Косьвинская, 9;0;4960.923099221407
